	University	Established	Status
0	ABDULLAH GUL UNIVERSITY	2010	STATE
1	ACIBADEM MEHMET ALI AYDINLAR UNIVERSITY	2007	FOUNDATION
2	ADANA ALPARSLAN TURKES SCIENCE AND TECHNOLOGY UNIVERSITY	2011	STATE
3	ADIYAMAN UNIVERSITY	2006	STATE
4	AFYON KOCATEPE UNIVERSITY	1992	STATE
5	AFYONKARAHISAR HEALTH SCIENCES UNIVERSITY	2018	STATE
6	AGRI IBRAHIM CECEN UNIVERSITY	2007	STATE
7	AKDENIZ UNIVERSITY	1982	STATE
8	AKSARAY UNIVERSITY	2006	STATE
9	ALANYA ALAADDIN KEYKUBAT UNIVERSITY	2015	STATE
10	ALANYA HAMDULLAH EMIN PASA UNIVERSITY	2011	FOUNDATION
11	ALTINBAS UNIVERSITY	2008	FOUNDATION
12	AMASYA UNIVERSITY	2006	STATE
13	ANADOLU UNIVERSITY	1973	STATE
14	ANKA UNIVERSITY OF TECHNOLOGY	2013	FOUNDATION
15	ANKARA SCIENCE UNIVERSITY	2020	FOUNDATION
16	ANKARA HACI BAYRAM VELI UNIVERSITY	2018	STATE
17	ANKARA MEDIPOL UNIVERSITY	2018	FOUNDATION
18	ANKARA MUSIC AND FINE ARTS UNIVERSITY	2017	STATE
19	SOCIAL SCIENCES UNIVERSITY OF ANKARA	2013	STATE
20	ANKARA UNIVERSITY	1946	STATE
21	ANKARA YILDIRIM BEYAZIT UNIVERSITY	2010	STATE
22	ANTALYA AKEV UNIVERSITY	2015	FOUNDATION
23	ANTALYA BILIM UNIVERSITY	2010	FOUNDATION
24	ARDAHAN UNIVERSITY	2008	STATE
25	ARTVIN CORUH UNIVERSITY	2007	STATE
26	ATASEHIR ADIGUZEL VOCATIONAL SCHOOL	2014	FOUNDATION VS
27	ATATURK UNIVERSITY	1957	STATE
28	ATILIM UNIVERSITY	1997	FOUNDATION
29	UNIVERSITY OF EURASIA	2010	FOUNDATION
30	AYDIN ADNAN MENDERES UNIVERSITY	1992	STATE
31	BAHCESEHIR UNIVERSITY	1998	FOUNDATION
32	BALIKESIR UNIVERSITY	1992	STATE
33	BANDIRMA ONYEDI EYLUL UNIVERSITY	2015	STATE
34	BARTIN UNIVERSITY	2008	STATE
35	BASKENT UNIVERSITY	1994	FOUNDATION
36	BATMAN UNIVERSITY	2007	STATE
37	BAYBURT UNIVERSITY	2008	STATE
38	BEYKENT UNIVERSITY	1997	FOUNDATION
39	BEYKOZ UNIVERSITY	2016	FOUNDATION
40	BEZMI ALEM FOUNDATION UNIVERSITY	2010	FOUNDATION
41	BILECIK SEYH EDEBALI UNIVERSITY	2007	STATE
42	BINGOL UNIVERSITY	2007	STATE
43	BIRUNI UNIVERSITY	2014	FOUNDATION
44	BITLIS EREN UNIVERSITY	2007	STATE
45	BOGAZICI UNIVERSITY	1971	STATE
46	BOLU ABANT IZZET BAYSAL UNIVERSITY	1992	STATE
47	BURDUR MEHMET AKIF ERSOY UNIVERSITY	2006	STATE
48	BURSA TECHNICAL UNIVERSITY	2010	STATE
49	BURSA ULUDAG UNIVERSITY	1975	STATE
50	CAG UNIVERSITY	1997	FOUNDATION
51	CANAKKALE ONSEKIZ MART UNIVERSITY	1992	STATE
52	CANKAYA UNIVERSITY	1997	FOUNDATION
53	CANKIRI KARATEKIN UNIVERSITY	2007	STATE
54	CUKUROVA UNIVERSITY	1973	STATE
55	DEMİROĞLU BİLİM UNIVERSITY	2006	FOUNDATION
56	DICLE UNIVERSITY	1973	STATE
57	DOGUS UNIVERSITY	1997	FOUNDATION
58	DOKUZ EYLUL UNIVERSITY	1982	STATE
59	DUZCE UNIVERSITY	2006	STATE
60	EGE UNIVERSITY	1955	STATE
61	ERCIYES UNIVERSITY	1982	STATE
62	ERZINCAN BINALI YILDIRIM UNIVERSITY	2006	STATE
63	ERZURUM TECHNICAL UNIVERSITY	2010	STATE
64	ESKISEHIR OSMANGAZI UNIVERSITY	1993	STATE
65	ESKISEHIR TECHNICAL UNIVERSITY	2018	STATE
66	FATIH SULTAN MEHMET VAKIF UNIVERSITY	2010	FOUNDATION
67	FENERBAHCE UNIVERSITY	2016	FOUNDATION
68	FIRAT UNIVERSITY	1975	STATE
69	GALATASARAY UNIVERSITY	1994	STATE
70	GAZI UNIVERSITY	1982	STATE
71	GAZIANTEP ISLAM SCIENCE AND TECHNOLOGY UNIVERSITY	2018	STATE
72	GAZIANTEP UNIVERSITY	1987	STATE
73	GEBZE TECHNICAL UNIVERSITY	1992	STATE
74	GIRESUN UNIVERSITY	2006	STATE
75	GUMUSHANE UNIVERSITY	2008	STATE
76	HACETTEPE UNIVERSITY	1967	STATE
77	HAKKARI UNIVERSITY	2008	STATE
78	HALIC UNIVERSITY	1998	FOUNDATION
79	HARRAN UNIVERSITY	1992	STATE
80	HASAN KALYONCU UNIVERSITY	2008	FOUNDATION
81	HATAY MUSTAFA KEMAL UNIVERSITY	1992	STATE
82	HITIT UNIVERSITY	2006	STATE
83	IGDIR UNIVERSITY	2008	STATE
84	ISPARTA UNIVERSITY OF APPLIED SCIENCES	2018	STATE
85	ISIK UNIVERSITY	1996	FOUNDATION
86	IBN HALDUN UNIVERSITY	2015	FOUNDATION
