University,City,Status,Established,Rector
ABDULLAH GUL UNIVERSITY,KAYSERİ,STATE,2010,PROF.DR. CENGİZ YILMAZ
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITY,İSTANBUL,FOUNDATION,2007,PROF.DR. AHMET ŞAHİN
ADANA ALPARSLAN TURKES SCIENCE AND TECHNOLOGY UNIVERSITY,ADANA,STATE,2011,PROF.DR. MEHMET TÜMAY
ADIYAMAN UNIVERSITY,ADIYAMAN,STATE,2006,PROF.DR. MEHMET TURGUT
AFYON KOCATEPE UNIVERSITY,AFYONKARAHİSAR,STATE,1992,PROF.DR. MEHMET KARAKAŞ
AFYONKARAHISAR HEALTH SCIENCES UNIVERSITY,AFYONKARAHİSAR,STATE,2018,PROF.DR. NURULLAH OKUMUŞ
AGRI IBRAHIM CECEN UNIVERSITY,AĞRI,STATE,2007,PROF.DR. ABDULHALİK KARABULUT
AKDENIZ UNIVERSITY,ANTALYA,STATE,1982,PROF.DR. ÖZLENEN ÖZKAN
AKSARAY UNIVERSITY,AKSARAY,STATE,2006,PROF.DR. YUSUF ŞAHİN
ALANYA ALAADDIN KEYKUBAT UNIVERSITY,ANTALYA,STATE,2015,PROF.DR. EKREM KALAN
ALANYA HAMDULLAH EMIN PASA UNIVERSITY,ANTALYA,FOUNDATION,2011,PROF.DR. EBRU GÜLBUĞ EROL
ALTINBAS UNIVERSITY,İSTANBUL,FOUNDATION,2008,PROF.DR. ÇAĞRI ERHAN
AMASYA UNIVERSITY,AMASYA,STATE,2006,PROF.DR. SÜLEYMAN ELMACI
ANADOLU UNIVERSITY,ESKİŞEHİR,STATE,1973,PROF.DR. FUAT ERDAL
ANKA UNIVERSITY OF TECHNOLOGY,ANKARA,FOUNDATION,2013,
ANKARA SCIENCE UNIVERSITY,ANKARA,FOUNDATION,2020,PROF.DR. YAVUZ DEMİR
ANKARA HACI BAYRAM VELI UNIVERSITY,ANKARA,STATE,2018,PROF.DR. YUSUF TEKİN
ANKARA MEDIPOL UNIVERSITY,ANKARA,FOUNDATION,2018,PROF.DR. AHMET ZEKİ ŞENGİL
ANKARA MUSIC AND FINE ARTS UNIVERSITY,ANKARA,STATE,2017,PROF.DR. ERHAN ÖZDEN
SOCIAL SCIENCES UNIVERSITY OF ANKARA,ANKARA,STATE,2013,PROF.DR. MUSA KAZIM ARICAN
ANKARA UNIVERSITY,ANKARA,STATE,1946,PROF.DR. NECDET ÜNÜVAR
ANKARA YILDIRIM BEYAZIT UNIVERSITY,ANKARA,STATE,2010,PROF.DR. İBRAHİM AYDINLI
ANTALYA AKEV UNIVERSITY,ANTALYA,FOUNDATION,2015,PROF.DR. KAMİLE AKGÜL
ANTALYA BILIM UNIVERSITY,ANTALYA,FOUNDATION,2010,PROF.DR. İSMAİL YÜKSEK
ARDAHAN UNIVERSITY,ARDAHAN,STATE,2008,PROF.DR. MEHMET BİBER
ARTVIN CORUH UNIVERSITY,ARTVİN,STATE,2007,PROF.DR. MUSTAFA SITKI BİLGİN
ATASEHIR ADIGUZEL VOCATIONAL SCHOOL,İSTANBUL,FOUNDATION VS,2014,
ATATURK UNIVERSITY,ERZURUM,STATE,1957,PROF.DR. ÖMER ÇOMAKLI
ATILIM UNIVERSITY,ANKARA,FOUNDATION,1997,PROF.DR. MEHMET YILDIRIM ÜÇTUĞ
UNIVERSITY OF EURASIA,TRABZON,FOUNDATION,2010,PROF.DR. GÜLAY YEGİNOĞLU
AYDIN ADNAN MENDERES UNIVERSITY,AYDIN,STATE,1992,PROF.DR. OSMAN SELÇUK ALDEMİR
BAHCESEHIR UNIVERSITY,İSTANBUL,FOUNDATION,1998,PROF.DR. ŞİRİN KARADENİZ ORAN
BALIKESIR UNIVERSITY,BALIKESİR,STATE,1992,PROF.DR. İLTER KUŞ
BANDIRMA ONYEDI EYLUL UNIVERSITY,BALIKESİR,STATE,2015,PROF.DR. SÜLEYMAN ÖZDEMİR
BARTIN UNIVERSITY,BARTIN,STATE,2008,PROF.DR. ORHAN UZUN
BASKENT UNIVERSITY,ANKARA,FOUNDATION,1994,
BATMAN UNIVERSITY,BATMAN,STATE,2007,PROF.DR. İDRİS DEMİR
BAYBURT UNIVERSITY,BAYBURT,STATE,2008,PROF.DR. MUTLU TÜRKMEN
BEYKENT UNIVERSITY,İSTANBUL,FOUNDATION,1997,PROF.DR. ALİ MURAT FERMAN
BEYKOZ UNIVERSITY,İSTANBUL,FOUNDATION,2016,PROF.DR. MEHMET DURMAN
BEZMI ALEM FOUNDATION UNIVERSITY,İSTANBUL,FOUNDATION,2010,PROF.DR. RÜMEYZA KAZANCIOĞLU
BILECIK SEYH EDEBALI UNIVERSITY,BİLECİK,STATE,2007,PROF.DR. ŞÜKRÜ BEYDEMİR
BINGOL UNIVERSITY,BİNGÖL,STATE,2007,PROF.DR. İBRAHİM ÇAPAK
BIRUNI UNIVERSITY,İSTANBUL,FOUNDATION,2014,PROF.DR. ADNAN YÜKSEL
